"value","mes","year","paragraph"
"The Central Bank of the Dominican Republic, in its Monetary Policy meeting of January 2012, decided to keep its Monetary Policy Rate unchanged at 6.75% per annum. At the same time, it decided to leave the Lombard Interest Rate unchanged at 9.0% per annum.","01","12",1
"The decision regarding the reference rate is based on the fact that no deviations are foreseen for the inflation projection with respect to the target and for the prospects of the main determinants of inflation. For 2012, the Monetary Board, under the new explicit inflation targeting (EMI) scheme, approved a goal of 5.5% <U+00B1> 1% for this indicator. In December 2011, monthly inflation was 0.1%, while the year-on-year rate reached 7.8%. In addition, the interannual core inflation rose to 5.2% at the end of the year.","01","12",2
"In the external context, both the IMF and the Consensus Forecast maintain their perspectives of moderation in the growth of the world economy. The projections suggest that the United States would continue its path of incipient recovery, while Europe could be entering recession in 2012. The solution of economic policy in the eurozone seems to confront a dilemma between fiscal austerity and economic growth, which makes it difficult to correct the process of debt crisis and fiscal sustainability of that monetary union, as discussed at the recent World Economic Forum in Davos. However, it is important to note that the European Union recently approved a fiscal rule that would allow the sustainability of public accounts in the long term.","01","12",3
"On the other hand, forecasts show that emerging economies would be slowing down while international financial conditions remain restricted. In that sense, China would be growing below the average of recent years, while the growth forecasts for Latin America are corrected to the downside. The prices of raw materials remain high amid geopolitical tensions in the Middle East.","01","12",4
"In the domestic sphere, private credit, economic activity and inflation evolve in accordance with the projections of the recent Monetary Policy Report. Credit to the private sector continues to expand at a rate close to projected nominal GDP, indicating that domestic demand preserves its growth. At the same time, the forecasts point to a convergence of interannual inflation to the target during the first quarter of 2012, which indicates that even in the middle of an electoral cycle, price stability and the continuity of macroeconomic policies would be maintained, creating a environment of certainty that facilitates the decision making of private economic agents.","01","12",5
"The Central Bank will continue to monitor the evolution of the global and domestic economy in order to react in a timely manner to risks regarding price stability and the proper functioning of the financial and payment systems.","01","12",6
"The Monetary Board, through the second resolution of December 20, 2012, decided to modify the interest rate corridor, formed by the rates of short-term remunerated deposits (overnight) and Lombarda, with which it had operated its policy during the last years. In this sense, it established that from now on the Monetary Policy Interest Rate of the Central Bank (TPM) will be exclusively a Reference Rate of the 1-Day Liquidity Operations performed by the institution, instead of the rate of paid deposits of the Central Bank. short term, which had fulfilled that role since 2005.In the external context, economic activity in the United States of America recorded a slight contraction of 0.1% in the fourth quarter of 2012, closing the year at 2.2%. For 2013, an expansion of 2.0% is expected according to the Economic Consensus (Consensus Forecast). The fiscal risks of the United States have moderated temporarily, while in the Euro Zone recessive conditions persist, estimating a fall of 0.4% by the end of 2012. Additionally, there is a loss of dynamism in important countries in the area, particularly Germany and France. On the other hand, the Economic Consensus predicts that Latin America's growth would be 2.7% in 2012. In most of the countries of the region, monetary policy maintains a neutral stance. International financial conditions have improved relatively and prices of primary goods remain above their historical levels. In the domestic sphere, production and domestic demand behave as predicted in the most recent Monetary Policy Report. Economic activity grew in 2012 at around 4.0%, higher than the average for Latin America. This growth indicates a moderate recovery in the second half of the year, but staying below its long-term trend. During this year, production will remain below its potential, recovering its path from next year, supported by an improvement in private consumption and investment, as total credit is recovered and economic activity is boosted.Regarding the possible impact on domestic prices, stemming from the implementation of the fiscal reform, the Central Bank estimates that its effect would have a transitory and one-off nature, so that inflation would remain around the target of this year.","01","13",1
"The Central Bank reaffirms its commitment to conduct monetary policy to achieve its inflation target, while continuing to monitor the evolution of the world economy and the domestic situation in order to react timely to risks on price stability and good functioning of the financial and payment systems.","01","13",2
"At its monetary policy meeting in January 2014, the Central Bank of the Dominican Republic decided to maintain the reference rate at 6.25% per annum.","01","14",1
"The decision regarding the monetary policy rate took into account the balance of risks around the inflation projections, as well as market expectations. The year-on-year inflation rate closed at 3.88% in December, decreasing for the fourth consecutive month. This result was slightly below the lower limit of the target range of 5.0% <U+00B1> 1.0%. Additionally, the interannual core inflation, which is associated with inflationary pressures of monetary origin, fell to 4.42%, closing below the central value of the target.","01","14",2
