document,date,entorno,WordCount,SentimentGI,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
1,2012-01-01,national,32,0.03125,0,0.03125,0,0,0,0,0,0,0,0.0625,0,0.0625
2,2012-01-01,national,65,0.015384615384615385,0.03076923076923077,0.046153846153846156,0,0.015384615384615385,0.015384615384615385,0,0,0,0,0.015384615384615385,0,0.015384615384615385
3,2012-01-01,international,94,0,0.031914893617021274,0.031914893617021274,0.010638297872340425,0.010638297872340425,0.02127659574468085,-0.031914893617021274,0.031914893617021274,0,0.02127659574468085,-0.0425531914893617,0.05319148936170213,0.010638297872340425
4,2012-01-01,international,50,-0.02,0.04,0.02,0,0.04,0.04,0,0,0,0,0,0,0
5,2012-01-01,national,80,0.0125,0.0375,0.05,0.025,0,0.025,-0.0125,0.0125,0,0,0.025,0,0.025
6,2012-01-01,both,30,0.06666666666666667,0.03333333333333333,0.1,0,0,0,-0.03333333333333333,0.03333333333333333,0,0,0.1,0,0.1
7,2012-02-01,national,32,0.03125,0,0.03125,0,0,0,0,0,0,0,0.0625,0,0.0625
8,2012-02-01,national,72,0.013888888888888888,0,0.013888888888888888,0,0,0,-0.013888888888888888,0.013888888888888888,0,0,0,0,0
9,2012-02-01,international,56,-0.017857142857142856,0.017857142857142856,0,0.03571428571428571,0,0.03571428571428571,0,0,0,0,0,0,0
10,2012-02-01,international,51,0,0.0196078431372549,0.0196078431372549,0,0.0196078431372549,0.0196078431372549,0,0,0,0.0196078431372549,-0.0392156862745098,0.0392156862745098,0
11,2012-02-01,national,36,0.027777777777777776,0,0.027777777777777776,0.027777777777777776,0,0.027777777777777776,0,0,0,0,0,0,0
12,2012-02-01,national,42,0.023809523809523808,0.023809523809523808,0.047619047619047616,0,0,0,0,0,0,0,0.047619047619047616,0,0.047619047619047616
13,2012-03-01,national,32,0.03125,0,0.03125,0,0,0,0,0,0,0,0.0625,0,0.0625
14,2012-03-01,national,70,0,0.014285714285714285,0.014285714285714285,-0.02857142857142857,0.02857142857142857,0,0,0,0,0.014285714285714285,0,0.014285714285714285,0.014285714285714285
